id,Name,Include,Level,Flood Protection Return Period,Storeys Above Ground,Model,Country,Function type,Category group,Subcategory,Secondary Subcategory,Tertiary Subcategory,Description of category by source,Method,Scale,Notes
109,MCM: Bank,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Commercial,Bank,,,Expert calculation,Micro,
110,MCM: Bank,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Commercial,Bank,,,Expert calculation,Micro,
111,MCM: Bank,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Commercial,Bank,,,Expert calculation,Micro,
112,MCM: Bank,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Commercial,Bank,,,Expert calculation,Micro,
113,MCM: Bank,TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Commercial,Bank,,,Expert calculation,Micro,
114,MCM: Bank,TRUE,High,0,,MCM,United Kingdom,Content,Employment,Commercial,Bank,,,Expert calculation,Micro,
115,MCM: Warehouse,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
116,MCM: Warehouse,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
117,MCM: Warehouse,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
118,MCM: Warehouse,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
119,MCM: Warehouse,TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
120,MCM: Warehouse,TRUE,High,0,,MCM,United Kingdom,Content,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
121,MCM: Electrical Warehouse,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
122,MCM: Electrical Warehouse,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
123,MCM: Electrical Warehouse,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
124,MCM: Electrical Warehouse,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
125,MCM: Electrical Warehouse,TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
126,MCM: Electrical Warehouse,TRUE,High,0,,MCM,United Kingdom,Content,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
127,MCM: Non-frozen Warehouse,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
128,MCM: Non-frozen warehouse,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
129,MCM: Non-frozen Warehouse,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
130,MCM: Non-frozen Warehouse,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
131,MCM: frozen Warehouse,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
132,MCM: frozen warehouse,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
133,MCM: frozen Warehouse,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
134,MCM: frozen Warehouse,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
135,MCM: Hotel,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Commercial,Horeca,,,Expert calculation,Micro,
136,MCM: Hotel,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Commercial,Horeca,,,Expert calculation,Micro,
137,MCM: Hotel,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Commercial,Horeca,,,Expert calculation,Micro,
138,MCM: Hotel,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Commercial,Horeca,,,Expert calculation,Micro,
139,MCM: Movable caravan,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Vehicle,,,,Expert calculation,Micro,
140,MCM: Movable caravan,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Vehicle,,,,Expert calculation,Micro,
141,MCM: Fixed caravan,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Vehicle,,,,Expert calculation,Micro,
142,MCM: Fixed caravan,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Vehicle,,,,Expert calculation,Micro,
