column separator = ,
8.72, 2.4070, 99.4133
8.73, 2.4093, 99.4201
8.74, 2.4117, 99.4268
8.75, 2.4140, 99.4335
8.76, 2.4164, 99.4400
8.77, 2.4187, 99.4465
8.78, 2.4211, 99.4529
8.79, 2.4235, 99.4593
8.80, 2.4258, 99.4655
8.81, 2.4282, 99.4717
8.82, 2.4305, 99.4778
8.83, 2.4329, 99.4839
8.84, 2.4352, 99.4899
8.85, 2.4376, 99.4958
8.86, 2.4399, 99.5016
8.87, 2.4423, 99.5074
8.88, 2.4446, 99.5131
8.89, 2.4470, 99.5188
8.90, 2.4493, 99.5243
8.91, 2.4517, 99.5299
8.92, 2.4540, 99.5353
8.93, 2.4564, 99.5407
8.94, 2.4587, 99.5460
8.95, 2.4611, 99.5513
8.96, 2.4634, 99.5565
8.97, 2.4657, 99.5617
8.98, 2.4681, 99.5668
8.99, 2.4704, 99.5718
9.00, 2.4728, 99.5768
9.01, 2.4751, 99.5817
9.02, 2.4774, 99.5865
9.03, 2.4798, 99.5913
9.04, 2.4821, 99.5961
9.05, 2.4845, 99.6008
9.06, 2.4868, 99.6054
9.07, 2.4891, 99.6100
9.08, 2.4915, 99.6145
9.09, 2.4938, 99.6190
9.10, 2.4961, 99.6235
9.11, 2.4985, 99.6278
9.12, 2.5008, 99.6322
9.13, 2.5031, 99.6364
9.14, 2.5054, 99.6407
9.15, 2.5078, 99.6449
9.16, 2.5101, 99.6490
9.17, 2.5124, 99.6531
9.18, 2.5148, 99.6571
9.19, 2.5171, 99.6611
9.20, 2.5194, 99.6650
9.21, 2.5217, 99.6689
9.22, 2.5241, 99.6728
9.23, 2.5264, 99.6766
9.24, 2.5287, 99.6804
9.25, 2.5310, 99.6841
9.26, 2.5333, 99.6878
9.27, 2.5357, 99.6914
9.28, 2.5380, 99.6950
9.29, 2.5403, 99.6986
9.30, 2.5426, 99.7021
9.31, 2.5449, 99.7055
9.32, 2.5473, 99.7090
9.33, 2.5496, 99.7124
9.34, 2.5519, 99.7157
9.35, 2.5542, 99.7190
9.36, 2.5565, 99.7223
9.37, 2.5588, 99.7255
9.38, 2.5611, 99.7287
9.39, 2.5635, 99.7319
9.40, 2.5658, 99.7350
9.41, 2.5681, 99.7381
9.42, 2.5704, 99.7412
9.43, 2.5727, 99.7442
9.44, 2.5750, 99.7472
9.45, 2.5773, 99.7501
9.46, 2.5796, 99.7530
9.47, 2.5819, 99.7559
9.48, 2.5842, 99.7588
9.49, 2.5865, 99.7616
9.50, 2.5888, 99.7644
9.51, 2.5911, 99.7671
9.52, 2.5934, 99.7698
9.53, 2.5957, 99.7725
9.54, 2.5980, 99.7752
9.55, 2.6003, 99.7778
9.56, 2.6026, 99.7804
9.57, 2.6049, 99.7830
9.58, 2.6072, 99.7855
9.59, 2.6095, 99.7880
9.60, 2.6118, 99.7905
9.61, 2.6141, 99.7929
9.62, 2.6164, 99.7953
9.63, 2.6187, 99.7977
9.64, 2.6210, 99.8001
9.65, 2.6233, 99.8024
9.66, 2.6256, 99.8047
9.67, 2.6279, 99.8070
9.68, 2.6302, 99.8093
9.69, 2.6325, 99.8115
9.70, 2.6348, 99.8137
9.71, 2.6371, 99.8159
9.72, 2.6393, 99.8180
9.73, 2.6416, 99.8201
9.74, 2.6439, 99.8222
9.75, 2.6462, 99.8243
9.76, 2.6485, 99.8264
9.77, 2.6508, 99.8284
9.78, 2.6531, 99.8304
9.79, 2.6553, 99.8324
9.80, 2.6576, 99.8343
9.81, 2.6599, 99.8363
9.82, 2.6622, 99.8382
9.83, 2.6645, 99.8401
9.84, 2.6668, 99.8419
9.85, 2.6690, 99.8438
9.86, 2.6713, 99.8456
9.87, 2.6736, 99.8474
9.88, 2.6759, 99.8492
9.89, 2.6781, 99.8510
9.90, 2.6804, 99.8527
9.91, 2.6827, 99.8544
9.92, 2.6850, 99.8561
9.93, 2.6872, 99.8578
9.94, 2.6895, 99.8595
9.95, 2.6918, 99.8611
9.96, 2.6941, 99.8627
9.97, 2.6963, 99.8643
9.98, 2.6986, 99.8659
9.99, 2.7009, 99.8675
10.00, 2.7031, 99.8690
